COMPANY_ID,AVG_USD_AMT_ALL_MAKE,AVG_REVENUE_USD_AMT_ALL_MAKE,AVG_NET_REVENUE_USD_AMT_ALL_MAKE,FREQ_ACTIVE_MAKE,PAYTYPE_COUNT_ALL_MAKE,SUPPLIER_PAYMENT_PERCENT_MAKE,RENT_PAYMENT_PERCENT_MAKE,PAYROLL_PAYMENT_PERCENT_MAKE,MONTHS_SINCE_FIRST_PAYMENT_ALL_MAKE,MONTHS_SINCE_LAST_PAYMENT_ALL_MAKE,RSD_PERCENTAGE_MAKE,USE_COLLECT,ENTITY_NAME,AVG_USD_AMT_ALL_COLLECT,AVG_REVENUE_USD_AMT_ALL_COLLECT,AVG_NET_REVENUE_USD_AMT_ALL_COLLECT,FREQ_ACTIVE_COLLECT,PAYTYPE_COUNT_ALL_COLLECT,SUPPLIER_PAYMENT_PERCENT_COLLECT,RENT_PAYMENT_PERCENT_COLLECT,PAYROLL_PAYMENT_PERCENT_COLLECT,MONTHS_SINCE_FIRST_PAYMENT_ALL_COLLECT,MONTHS_SINCE_LAST_PAYMENT_ALL_COLLECT,CU_COMPANY_L2_INDUSTRY_NUMERIC,Combined_Cluster
3372,12060.754200000000,313.579609200000,153.826730420000,1.000000,1.0,1.000000,0.000000,0.000000,14.0,14.0,0.9555958151429195,0,ATE INTEGRATED COMMUNICATIONS PTE. LTD.,,,,,,,,,,,4,lapsed_1
945,1370.635938042381,25.659059574762,-1.413823860952,4.200000,2.0,0.904762,0.095238,0.000000,60.0,56.0,1.3153667895961902,0,SOLUTINO PTE. LTD.,,,,,,,,,,,4,lapsed_2
620,377923.535566885000,3124.071289363750,113.079807376250,0.380952,1.0,0.000000,0.000000,1.000000,58.0,38.0,0.8980368320352229,0,NITYO INFOTECH SERVICES PTE. LTD.,,,,,,,,,,,4,lapsed_3
4153,,,,,,,,,,,0.9555958151429195,1,GRINESS PTE. LTD.,2020.052246666667,52.521358413333,11.767921073333,1.500000,1.0,1.000000,0.000000,0.000000,4.0,3.0,10,
3869,3168.911051680000,52.817913995000,-5.604156002500,4.000000,1.0,0.000000,0.000000,0.000000,9.0,9.0,0.9555958151429195,0,ANALYTICS CONSULTING INTERNATIONAL,,,,,,,,,,,4,active_3
3897,3104.942895978000,49.374643120000,8.067304476000,1.000000,1.0,1.000000,0.000000,0.000000,8.0,4.0,0.637830102335557,0,J5 PRODUCTIONS PTE. LTD.,,,,,,,,,,,0,active_1
1139,9672.382726231739,169.165106247500,40.385723524348,1.642857,2.0,0.000000,0.967391,0.000000,55.0,0.0,0.15530299843441064,0,OLYMPUS LEARNING ACADEMY PTE. LTD.,,,,,,,,,,,10,active_0
904,796.605370000000,0E-12,-19.944913890000,1.000000,1.0,1.000000,0.000000,0.000000,61.0,61.0,0.9555958151429195,0,PADBC CONSULTING,,,,,,,,,,,11,lapsed_2
1492,5667.437737500000,132.952133393750,5.847976805000,0.210526,1.0,0.000000,1.000000,0.000000,46.0,9.0,1.1385289507678475,0,NEXT FRONTIER PRIVATE LIMITED,,,,,,,,,,,4,active_0
1587,15986.922204299444,297.175990833333,-53.228624863333,1.000000,1.0,0.000000,1.000000,0.000000,43.0,26.0,0.26378355609937637,0,5FOUR18 PTE. LTD.,,,,,,,,,,,2,lapsed_0
1848,,,,,,,,,,,0.9555958151429195,1,PURE WATER DISPENSERS PTE. LTD.,720.935304760000,15.650689802000,2.788863286000,1.000000,1.0,1.000000,0.000000,0.000000,34.0,30.0,0,
1371,2728.333876958462,51.232243612564,14.489512916154,1.560000,2.0,0.615385,0.000000,0.384615,24.0,0.0,0.4576436473804129,0,OPEN SESAME MARKETING PTE. LTD.,,,,,,,,,,,6,active_1
599,178.471036944444,4.640246960556,0.652670443333,1.384615,1.0,1.000000,0.000000,0.000000,58.0,46.0,0.5419687484090485,0,RETAILDDS ASIA PTE. LTD.,,,,,,,,,,,11,lapsed_2
2860,2776.489845580000,45.527020570625,9.042463604167,2.400000,4.0,0.625000,0.229167,0.000000,19.0,0.0,0.6670825883337188,0,CARPE LIBERTAS PTE. LTD.,,,,,,,,,,,4,active_1
