PRIMARY_SSIC_DESCRIPTION,PREDICTED_L1,CONFIDENCE
RESEARCH AND EXPERIMENTAL DEVELOPMENT ON ENGINEERING,Mechanical or Industrial Engineering,0.5176587700843811
MANUFACTURE OF COMMUNICATIONS EQUIPMENT N.E.C.,Telecommunications,0.5812826156616211
MANUFACTURE AND REPAIR OF ELECTROTHERAPEUTIC DEVICES,Medical Devices,0.4879032373428345
WHOLESALE OF WATCHES AND CLOCKS,Wholesale,0.5406652688980103
SERVICE ACTIVITIES RELATED TO PRINTING N.E.C. (INCLUDING PLATE-MAKING),Printing,0.5965567827224731
RENOVATION CONTRACTORS,Construction,0.5966213345527649
RETAIL SALE OF AQUARIUM FISHES (INCLUDING FOOD AND ACCESSORIES),Fishery,0.49667954444885254
MANUFACTURE OF TINPLATE CANS,Packaging & Containers,0.33797687292099
ACTIVITIES OF RELIGIOUS ORGANISATIONS N.E.C.,Religious Institutions,0.7133685350418091
MOVIE DISTRIBUTION,Motion Pictures & Film,0.630949854850769
"INSTALLATION OF PLUMBING, HEATING (NON-ELECTRIC) AND AIR-CONDITIONING SYSTEMS",Utilities,0.504838764667511
TECHNICAL AND VOCATIONAL SECONDARY AND POST-SECONDARY NON-TERTIARY EDUCATION,Primary/Secondary Education,0.6951101422309875
GENERAL CONTRACTORS (NON-BUILDING CONSTRUCTION),Construction,0.5876263380050659
SUPPORTING SERVICES TO WATER TRANSPORT N.E.C.,Environmental Services,0.5739306211471558
"MANUFACTURE OF SAUCES INCLUDING SOYA BEAN SAUCE (EG TOMATO SAUCE, CHILLI SAUCE)",Food Production,0.3615855574607849
MANUFACTURE OF ICE EXCEPT DRY ICE,Food & Beverages,0.23627807199954987
SHIP CHANDLERS,Maritime,0.5122228860855103
WHOLESALE OF CHEMICALS AND CHEMICAL PRODUCTS N.E.C.,Wholesale,0.6267805695533752
"MANUFACTURE OF DAIRY PRODUCTS N.E.C. (EG BUTTER, CHEESE, ICE-CREAM MIXES AND POWDER, YOGHURT)",Food Production,0.5152965784072876
JOINERY AND OTHER WOODWORKS (EG LAMINATED OR PARQUET FLOORING),Paper & Forest Products,0.452657014131546
"RETAIL SALE OF CLOTHING, FOOTWEAR AND LEATHER ARTICLES N.E.C.",Apparel & Fashion,0.6171137094497681
"SOIL INVESTIGATION, TREATMENT AND STABILISATION (INCLUDING GROUTING AND GUNITING)",Civil Engineering,0.3899509310722351
MUSEUMS,Fine Art,0.4872373044490814
SCAFFOLDING WORKS,Construction,0.5361582040786743
AIRLINE AGENCIES (FREIGHT),Airlines/Aviation,0.6708489656448364
OFFICE ADMINISTRATIVE SERVICES ON A FEE OR CONTRACT BASIS (EG BILLING AND RECORD KEEPING),Facilities Services,0.5382242202758789
SECONDARY SCHOOLS INCLUDING COMBINED PRIMARY AND SECONDARY SCHOOLS,Primary/Secondary Education,0.6731494665145874
"MARINE CONSTRUCTION (EG HARBOURS, PIERS, DOCKS, WHARVES)",Shipbuilding,0.654582142829895
MANUFACTURE OF STYROFOAM AND PLASTIC DISPOSABLE UTENSILS,Packaging & Containers,0.4608114957809448
INTERNET SEARCH ENGINES,Internet,0.5154086351394653
OTHER MINING AND QUARRYING,Mining & Metals,0.7895793318748474
MEDICAL DIAGNOSTIC IMAGING CENTRES (E.G. X-RAY SERVICES),Hospital & Health Care,0.5520198941230774
MANUFACTURE OF ADDITIVES N.E.C.,Chemicals,0.47858762741088867
NURSERIES AND KINDERGARTENS,Primary/Secondary Education,0.48880526423454285
MANUFACTURE OF EDIBLE VEGETABLE AND ANIMAL OILS AND FATS,Food Production,0.5697819590568542
PRIVATE SECURITY ACTIVITIES,Security & Investigations,0.6198657155036926
PROCESS AND INDUSTRIAL PLANT ENGINEERING DESIGN AND CONSULTANCY SERVICES,Mechanical or Industrial Engineering,0.5081803798675537
CARGO SURVEYING SERVICES,Package/Freight Delivery,0.5339404940605164
RETAIL SALE OF PET BIRDS AND ANIMALS (INCLUDING FOOD AND ACCESSORIES),Luxury Goods & Jewelry,0.4910948574542999
"INTERNET ACCESS PROVIDERS, INCLUDE ISPS",Telecommunications,0.4469422698020935
"REPAIR AND MAINTENANCE OF COMPUTER HARDWARE, DATA PROCESSING EQUIPMENT AND COMPUTER PERIPHERALS",Computer Hardware,0.6061457991600037
"OPERATION OF FISH HATCHERIES AND FISH FARMS N.E.C. (INCLUDING TURTLE, PRAWN, CRAB, MUSSEL FARMS)",Fishery,0.5894701480865479
NURSING AND PERSONAL CARE FACILITIES (INCLUDING NURSING HOMES AND HOSPICES),Hospital & Health Care,0.7310007214546204
RETAIL SALE OF SECURITY AND SAFETY EQUIPMENT,Business Supplies & Equipment,0.6264235973358154
MANUFACTURE OF CAPACITORS,Semiconductors,0.37697476148605347
"ASTROLOGY, PALMISTRY AND OTHER FORTUNE TELLING SERVICES",Financial Services,0.5349307060241699
"WHOLESALE OF CYBERSECURITY SOFTWARE, HARDWARE AND PERIPHERAL EQUIPMENT",Business Supplies & Equipment,0.5519953370094299
REPAIR OF JEWELLERY,Luxury Goods & Jewelry,0.411970853805542
CARBON CREDIT BROKERS/TRADERS,Capital Markets,0.4665389358997345
CHARTERING OF SHIPS AND BOATS WITH CREW (PASSENGER),Shipbuilding,0.43530941009521484
"MANUFACTURE AND REPAIR OF HEATING BOILERS, RADIATORS AND CORRECTORS (INCLUDING PARTS)",Shipbuilding,0.3557683825492859
"DISTILLING, RECTIFYING AND BLENDING OF SPIRITS; ETHYL ALCOHOL PRODUCTION FROM FERMENTED MATERIALS (INCLUDING SAMSU AND CHINESE LIQUORS)",Wine & Spirits,0.5976532101631165
MANUFACTURE OF TRADITIONAL CHINESE MEDICINE,Pharmaceuticals,0.4814817011356354
OTHER EXTRA-TERRITORIAL ORGANISATIONS AND BODIES,Civic & Social Organization,0.45761826634407043
